Date,Open,High,Low,Close,Volume,Adj Close,Amount
2015-02-02,12.36,12.94,12.06,12.45,197676080.0,12.45,2560710656.0
2015-02-03,12.48,12.69,11.89,12.53,293687168.0,12.53,3721989120.0
2015-02-04,12.47,12.72,12.34,12.37,166087200.0,12.37,2153610240.0
2015-02-05,12.94,13.08,12.26,12.28,316036064.0,12.28,4154456576.0
2015-02-06,12.2,12.2,11.58,11.76,316318656.0,11.76,3875290880.0
2015-02-09,11.63,11.92,11.35,11.77,127802408.0,11.77,1545255552.0
2015-02-10,11.71,12.05,11.65,12.01,107745648.0,12.01,1331390464.0
2015-02-11,12.08,12.22,11.93,12.0,87832920.0,12.0,1095982336.0
2015-02-12,12.0,12.13,11.79,12.05,89526728.0,12.05,1109421056.0
2015-02-13,12.12,12.58,11.92,12.34,196804320.0,12.34,2503342336.0
2015-02-16,12.24,12.34,12.11,12.22,130814480.0,12.22,1650830592.0
2015-02-17,12.29,12.4,12.2,12.34,119878312.0,12.34,1525915136.0
2015-02-25,12.34,12.34,11.92,11.99,149805184.0,11.99,1867537024.0
2015-02-26,11.99,12.42,11.94,12.42,173376272.0,12.42,2189347840.0
2015-02-27,12.34,12.54,12.27,12.33,124631864.0,12.33,1594683008.0
2015-03-02,12.59,12.66,12.21,12.34,322563392.0,12.34,4151867648.0
2015-03-03,12.2,12.21,11.76,11.79,236553536.0,11.79,2928813312.0
2015-03-04,11.79,11.97,11.64,11.81,164713760.0,11.81,2005295616.0
2015-03-05,11.69,11.76,11.42,11.5,179378688.0,11.5,2147302400.0
2015-03-06,11.5,11.73,11.48,11.54,110503680.0,11.54,1324128256.0
2015-03-09,11.41,11.95,11.15,11.81,204422896.0,11.81,2433768448.0
2015-03-10,11.69,11.76,11.57,11.62,107710984.0,11.62,1297837440.0
2015-03-11,11.62,11.79,11.47,11.53,115373368.0,11.53,1388717696.0
2015-03-12,11.66,11.88,11.56,11.81,181872848.0,11.81,2208554496.0
2015-03-13,11.86,11.99,11.76,11.82,133406976.0,11.82,1637332992.0
2015-03-16,11.95,12.11,11.85,12.07,175378176.0,12.07,2175852288.0
2015-03-17,12.17,12.32,12.09,12.21,212834912.0,12.21,2687890432.0
2015-03-18,12.23,12.76,12.23,12.7,289546784.0,12.7,3741533952.0
2015-03-19,12.64,12.64,12.34,12.44,212978896.0,12.44,2747447040.0
2015-03-20,12.52,12.91,12.35,12.7,349401632.0,12.7,4561069568.0
2015-03-23,12.86,13.2,12.82,12.92,331361184.0,12.92,4458518528.0
2015-03-24,12.92,12.93,12.43,12.62,265616944.0,12.62,3473050112.0
2015-03-25,12.61,12.61,12.27,12.35,207376128.0,12.35,2661617408.0
2015-03-26,12.27,12.62,12.15,12.52,209000768.0,12.52,2680422912.0
2015-03-27,12.74,12.91,12.59,12.91,344158976.0,12.91,4549707264.0
2015-03-30,12.95,14.0,12.74,13.77,636164800.0,13.77,8775743488.0
2015-03-31,14.36,14.47,13.2,13.36,748147392.0,13.36,10756474880.0
2015-04-01,13.27,13.4,13.02,13.26,375803456.0,13.26,5137432576.0
2015-04-02,13.3,13.46,12.98,13.14,319924640.0,13.14,4366632960.0
2015-04-03,12.96,13.03,12.75,13.0,356563200.0,13.0,4752985088.0
2015-04-07,13.03,13.27,12.92,13.26,375319488.0,13.26,5085149696.0
2015-04-08,13.26,13.46,12.96,13.36,448981504.0,13.36,6141003264.0
2015-04-09,13.37,14.33,13.06,14.15,717154688.0,14.15,10099959808.0
2015-04-10,13.8,13.99,13.6,13.84,424894208.0,13.84,6067355136.0
2015-04-13,13.94,14.13,13.75,13.89,407430560.0,13.89,5872259584.0
2015-04-14,13.85,13.98,13.53,13.65,327676000.0,13.65,4665719808.0
2015-04-15,13.63,13.71,13.35,13.44,278402272.0,13.44,3903055616.0
2015-04-16,13.38,13.82,13.31,13.82,334623328.0,13.82,4722539520.0
2015-04-17,14.04,14.42,13.83,14.18,584609280.0,14.18,8532838400.0
2015-04-20,14.29,14.6,13.72,13.74,593316480.0,13.74,8718400512.0
2015-04-21,13.69,14.07,13.55,14.0,374324320.0,14.0,5334590976.0
2015-04-22,14.02,14.42,13.93,14.38,446876288.0,14.38,6569892864.0
2015-04-23,14.65,14.74,14.16,14.27,471733120.0,14.27,7047246336.0
2015-04-24,14.0,14.21,13.68,13.94,362066176.0,13.94,5206488064.0
2015-04-27,13.93,14.21,13.82,14.21,422562016.0,14.21,6143012352.0
2015-04-28,14.16,14.17,13.64,13.72,386603904.0,13.72,5550367744.0
2015-04-29,13.6,13.95,13.47,13.77,277332896.0,13.77,3925805312.0
2015-04-30,13.85,14.43,13.74,14.11,541148608.0,14.11,7892159488.0
2015-05-04,14.13,14.3,13.92,14.07,309176800.0,14.07,4513107968.0
2015-05-05,14.12,14.14,13.17,13.31,328552416.0,13.31,4628568576.0
2015-05-06,13.37,13.58,12.96,13.11,252171904.0,13.11,3476236288.0
2015-05-07,13.09,13.32,13.03,13.16,175422288.0,13.16,2387227392.0
2015-05-08,13.24,13.35,13.02,13.34,197857504.0,13.34,2706847232.0
2015-05-11,13.53,13.63,13.35,13.6,365307488.0,13.6,5107136000.0
2015-05-12,13.57,13.57,13.37,13.46,254732800.0,13.46,3543629568.0
2015-05-13,13.47,14.42,13.27,14.21,580546112.0,14.21,8257166336.0
2015-05-14,14.4,15.08,14.05,14.1,778625344.0,14.1,11720036352.0
2015-05-15,14.22,14.29,13.52,13.69,339140800.0,13.69,4843095040.0
2015-05-18,13.52,13.52,13.24,13.38,236527104.0,13.38,3275761920.0
2015-05-19,13.42,13.79,13.34,13.69,258179776.0,13.69,3640508160.0
2015-05-20,13.71,13.9,13.51,13.58,305594112.0,13.58,4322772480.0
2015-05-21,13.61,13.82,13.45,13.68,254051024.0,13.68,3572892672.0
2015-05-22,13.74,14.09,13.68,14.01,380124512.0,14.01,5470598144.0
2015-05-25,14.05,14.63,14.05,14.52,446567008.0,14.52,6625080832.0
2015-05-26,14.76,15.34,14.37,15.24,656148608.0,15.24,10057211904.0
